B[G]      theta[rad]  chi[rad]
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
25.00 1.5708 0.7853 
