B[G]      theta[rad]  chi[rad]
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
20.00 1.5708 0.000 
