Wav. (air)[A]     Freq. [s-1]
4220.73132        7.100855643E+14
4222.38540        7.098074008E+14
4223.57756        7.096070523E+14
4224.43714        7.094626649E+14
4225.05727        7.093585353E+14
4225.50501        7.092833735E+14
4225.82861        7.092290592E+14
4226.06285        7.091897501E+14
4226.23273        7.091612423E+14
4226.35629        7.091405099E+14
4226.44650        7.091253751E+14
4226.51269        7.091142702E+14
4226.56158        7.091060666E+14
4226.59803        7.090999517E+14
4226.62552        7.090953408E+14
4226.64655        7.090918125E+14
4226.66293        7.090890639E+14
4226.67597        7.090868764E+14
4226.68660        7.090850931E+14
4226.69550        7.090836007E+14
4226.70314        7.090823178E+14
4226.70989        7.090811857E+14
4226.71599        7.090801622E+14
4226.72163        7.090792168E+14
4226.72693        7.090783278E+14
4226.73223        7.090774388E+14
4226.73786        7.090764934E+14
4226.74396        7.090754700E+14
4226.75071        7.090743379E+14
4226.75836        7.090730550E+14
4226.76726        7.090715626E+14
4226.77789        7.090697794E+14
4226.79092        7.090675921E+14
4226.80731        7.090648436E+14
4226.82834        7.090613156E+14
4226.85582        7.090567052E+14
4226.89227        7.090505912E+14
4226.94117        7.090423890E+14
4227.00736        7.090312867E+14
4227.09756        7.090161566E+14
4227.22112        7.089954327E+14
4227.39101        7.089669405E+14
4227.62525        7.089276605E+14
4227.94885        7.088734006E+14
4228.39658        7.087983416E+14
4229.01672        7.086944069E+14
4229.87630        7.085503907E+14
4231.06846        7.083507510E+14
4232.72254        7.080739447E+14
