V[kms-1]   theta[rad]  chi[rad]
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
 10.0000    0.0000    0.0000
