V[kms-1]   theta[rad]  chi[rad]
 40.0000    0.0000    0.0000
 39.9721    0.0000    0.0000
 39.9459    0.0000    0.0000
 39.9216    0.0000    0.0000
 39.8827    0.0000    0.0000
 39.8436    0.0000    0.0000
 39.8237    0.0000    0.0000
 39.8036    0.0000    0.0000
 39.7832    0.0000    0.0000
 39.7628    0.0000    0.0000
 39.7525    0.0000    0.0000
 39.7432    0.0000    0.0000
 39.7338    0.0000    0.0000
 39.7243    0.0000    0.0000
 39.7152    0.0000    0.0000
 39.7068    0.0000    0.0000
 39.6985    0.0000    0.0000
 39.6898    0.0000    0.0000
 39.6828    0.0000    0.0000
 39.6779    0.0000    0.0000
 39.6707    0.0000    0.0000
 39.6650    0.0000    0.0000
 39.6516    0.0000    0.0000
 39.6318    0.0000    0.0000
 39.4696    0.0000    0.0000
 39.0731    0.0000    0.0000
 38.5685    0.0000    0.0000
 38.0278    0.0000    0.0000
 37.6133    0.0000    0.0000
 37.3970    0.0000    0.0000
 37.1627    0.0000    0.0000
 36.8203    0.0000    0.0000
 36.3517    0.0000    0.0000
 35.6848    0.0000    0.0000
 34.5134    0.0000    0.0000
 33.5221    0.0000    0.0000
 31.9902    0.0000    0.0000
 30.0978    0.0000    0.0000
 28.4758    0.0000    0.0000
 26.5834    0.0000    0.0000
 24.8352    0.0000    0.0000
 23.0329    0.0000    0.0000
 21.2667    0.0000    0.0000
 19.1941    0.0000    0.0000
 17.6622    0.0000    0.0000
 16.3105    0.0000    0.0000
 15.4094    0.0000    0.0000
 14.5082    0.0000    0.0000
 13.6071    0.0000    0.0000
 12.7060    0.0000    0.0000
 11.7147    0.0000    0.0000
 10.8136    0.0000    0.0000
 10.0927    0.0000    0.0000
  9.4619    0.0000    0.0000
  8.8311    0.0000    0.0000
  8.1102    0.0000    0.0000
  7.2091    0.0000    0.0000
  6.3079    0.0000    0.0000
  5.4068    0.0000    0.0000
  4.5057    0.0000    0.0000
  3.6045    0.0000    0.0000
  2.7034    0.0000    0.0000
  1.8023    0.0000    0.0000
  0.9011    0.0000    0.0000
  0.0000    0.0000    0.0000
 0.3605    3.1415    0.0000
 0.7209    3.1415    0.0000
 1.0814    3.1415    0.0000
 1.4418    3.1415    0.0000
 1.8023    3.1415    0.0000
