B[G]      theta[rad]  chi[rad]
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
50.00 1.5708 0.000 
