Height[km] Temp[K]   Vmic[cm/s]    Damp          Nl[cm-3]      Nu[cm-3]      Cul[s-1]      Qel[s-1]
 2219.43  102770.0   1.19000E+06   5.40373E-04   1.23446E-07   1.22867E-10   2.81029E+03   1.13214E+04
 2217.88   98790.0   1.18000E+06   5.46369E-04   1.52573E-07   1.50484E-10   2.83852E+03   1.16758E+04
 2216.43   94800.0   1.17000E+06   5.52544E-04   1.98729E-07   1.94008E-10   2.81509E+03   1.20385E+04
 2215.08   90816.0   1.16000E+06   5.58897E-04   2.62644E-07   2.53966E-10   2.80120E+03   1.24430E+04
 2212.92   83891.0   1.15000E+06   5.67503E-04   4.37278E-07   4.17599E-10   2.80080E+03   1.31972E+04
 2210.75   75934.0   1.13000E+06   5.81349E-04   8.07929E-07   7.55657E-10   2.87997E+03   1.42106E+04
 2209.65   71336.0   1.12000E+06   5.89095E-04   1.15679E-06   1.06953E-09   2.98499E+03   1.48917E+04
 2208.53   66145.0   1.10000E+06   6.02038E-04   1.73702E-06   1.57551E-09   3.17066E+03   1.57479E+04
 2207.40   60170.0   1.08000E+06   6.16409E-04   2.81760E-06   2.50939E-09   3.50034E+03   1.68909E+04
 2206.27   53284.0   1.06000E+06   6.32560E-04   5.22758E-06   4.56568E-09   4.06547E+03   1.84095E+04
 2205.70   49385.0   1.05000E+06   6.41517E-04   7.82191E-06   6.76967E-09   4.53220E+03   1.95536E+04
 2205.18   45416.0   1.03000E+06   6.56260E-04   1.24601E-05   1.06170E-08   5.09860E+03   2.07903E+04
 2204.66   41178.0   1.01000E+06   6.72159E-04   2.24330E-05   1.87841E-08   5.86367E+03   2.23824E+04
 2204.13   36594.0   9.93000E+05   6.87660E-04   4.80742E-05   3.95731E-08   6.85572E+03   2.42750E+04
 2203.63   32145.0   9.70000E+05   7.07734E-04   1.20550E-04   9.70725E-08   8.12944E+03   2.67476E+04
 2203.16   27972.0   9.47000E+05   7.28881E-04   3.52660E-04   2.77169E-07   9.57160E+03   2.94763E+04
 2202.70   24056.0   9.22000E+05   7.52664E-04   1.25804E-03   9.61227E-07   1.12161E+04   3.26831E+04
 2202.22   20416.0   8.95000E+05   7.79463E-04   5.57441E-03   4.10572E-06   1.30662E+04   3.65598E+04
 2201.83   17925.0   8.75000E+05   8.00413E-04   1.86174E-02   1.33046E-05   1.45487E+04   3.97870E+04
 2201.56   16500.0   8.62000E+05   8.14352E-04   3.85534E-02   2.70383E-05   1.56403E+04   4.19234E+04
 2201.16   15000.0   8.47000E+05   8.30832E-04   8.19194E-02   5.62442E-05   1.70757E+04   4.42845E+04
