Wav.(air)[A]     Freq.[s-1]
4.219677380000000085e+03 7.102629178000000000e+14
4.220731319999999869e+03 7.100855643000000000e+14
4.221625949999999648e+03 7.099350889000000000e+14
4.222385400000000118e+03 7.098074008000000000e+14
4.223030139999999847e+03 7.096990342000000000e+14
4.223577559999999721e+03 7.096070523000000000e+14
4.224042389999999614e+03 7.095289658000000000e+14
4.224437139999999999e+03 7.094626649000000000e+14
4.224772429999999986e+03 7.094063603000000000e+14
4.225057270000000244e+03 7.093585353000000000e+14
4.225299299999999675e+03 7.093179033000000000e+14
4.225505009999999857e+03 7.092833735000000000e+14
4.225679890000000341e+03 7.092540204000000000e+14
4.225828609999999571e+03 7.092290592000000000e+14
4.225955140000000029e+03 7.092078240000000000e+14
4.226062850000000253e+03 7.091897501000000000e+14
4.226154569999999694e+03 7.091743584000000000e+14
4.226232729999999719e+03 7.091612423000000000e+14
4.226299399999999878e+03 7.091500570000000000e+14
4.226356289999999717e+03 7.091405099000000000e+14
4.226404910000000200e+03 7.091323528000000000e+14
4.226446500000000015e+03 7.091253751000000000e+14
4.226482119999999668e+03 7.091193981000000000e+14
4.226512689999999566e+03 7.091142702000000000e+14
4.226538959999999861e+03 7.091098627000000000e+14
4.226561579999999594e+03 7.091060666000000000e+14
4.226581119999999828e+03 7.091027891000000000e+14
4.226598030000000108e+03 7.090999517000000000e+14
4.226612720000000081e+03 7.090974878000000000e+14
4.226625519999999597e+03 7.090953408000000000e+14
4.226636709999999766e+03 7.090934626000000000e+14
4.226646550000000389e+03 7.090918125000000000e+14
4.226655230000000302e+03 7.090903561000000000e+14
4.226662930000000415e+03 7.090890639000000000e+14
4.226669799999999668e+03 7.090879110000000000e+14
4.226675970000000234e+03 7.090868764000000000e+14
4.226681539999999586e+03 7.090859422000000000e+14
4.226686599999999999e+03 7.090850931000000000e+14
4.226691230000000360e+03 7.090843162000000000e+14
4.226695499999999811e+03 7.090836007000000000e+14
4.226699450000000070e+03 7.090829372000000000e+14
4.226703139999999621e+03 7.090823178000000000e+14
4.226706610000000182e+03 7.090817358000000000e+14
4.226709890000000087e+03 7.090811857000000000e+14
4.226713010000000395e+03 7.090806625000000000e+14
4.226715989999999692e+03 7.090801622000000000e+14
4.226718859999999950e+03 7.090796813000000000e+14
4.226721630000000005e+03 7.090792168000000000e+14
4.226724309999999605e+03 7.090787664000000000e+14
4.226727480133233257e+03 7.090782353523232500e+14
4.226729540000000270e+03 7.090778892000000000e+14
4.226732229999999618e+03 7.090774388000000000e+14
4.226734999999999673e+03 7.090769743000000000e+14
4.226737860000000182e+03 7.090764934000000000e+14
4.226740850000000137e+03 7.090759931000000000e+14
4.226743959999999788e+03 7.090754700000000000e+14
4.226747239999999692e+03 7.090749198000000000e+14
4.226750710000000254e+03 7.090743379000000000e+14
4.226754399999999805e+03 7.090737185000000000e+14
4.226758359999999811e+03 7.090730550000000000e+14
4.226762630000000172e+03 7.090723395000000000e+14
4.226767259999999624e+03 7.090715626000000000e+14
4.226772320000000036e+03 7.090707136000000000e+14
4.226777890000000298e+03 7.090697794000000000e+14
4.226784050000000207e+03 7.090687449000000000e+14
4.226790920000000369e+03 7.090675921000000000e+14
4.226798630000000230e+03 7.090662999000000000e+14
4.226807310000000143e+03 7.090648436000000000e+14
4.226817140000000109e+03 7.090631937000000000e+14
4.226828340000000026e+03 7.090613156000000000e+14
4.226841140000000451e+03 7.090591688000000000e+14
4.226855819999999767e+03 7.090567052000000000e+14
4.226872739999999794e+03 7.090538682000000000e+14
4.226892270000000281e+03 7.090505912000000000e+14
4.226914899999999761e+03 7.090467957000000000e+14
4.226941170000000056e+03 7.090423890000000000e+14
4.226971730000000207e+03 7.090372622000000000e+14
4.227007359999999608e+03 7.090312867000000000e+14
4.227048950000000332e+03 7.090243110000000000e+14
4.227097560000000158e+03 7.090161566000000000e+14
4.227154459999999744e+03 7.090066131000000000e+14
4.227221120000000155e+03 7.089954327000000000e+14
4.227299289999999928e+03 7.089823232000000000e+14
4.227391010000000279e+03 7.089669405000000000e+14
4.227498709999999846e+03 7.089488789000000000e+14
4.227625250000000051e+03 7.089276605000000000e+14
4.227773970000000190e+03 7.089027222000000000e+14
4.227948849999999766e+03 7.088734006000000000e+14
4.228154550000000199e+03 7.088389141000000000e+14
4.228396579999999631e+03 7.087983416000000000e+14
4.228681419999999889e+03 7.087505985000000000e+14
4.229016719999999623e+03 7.086944069000000000e+14
4.229411470000000008e+03 7.086282618000000000e+14
4.229876299999999901e+03 7.085503907000000000e+14
4.230423719999999776e+03 7.084587062000000000e+14
4.231068460000000414e+03 7.083507510000000000e+14
4.231827909999999974e+03 7.082236321000000000e+14
4.232722539999999753e+03 7.080739447000000000e+14
4.233776480000000447e+03 7.078976826000000000e+14
